Region,date,Beans,Rice
Lindi,2024-12-18,3100.0,2400.0
Lindi,2025-02-12,3100.0,2500.0
Lindi,2025-02-19,3100.0,2600.0
Lindi,2025-02-26,3200.0,2600.0
Lindi,2025-03-05,3200.0,2700.0
Lindi,2025-03-26,3100.0,2800.0
Lindi,2025-05-07,3000.0,2900.0
Lindi,2025-05-14,3000.0,2900.0
Lindi,2025-05-21,3000.0,2900.0
Lindi,2025-05-28,3100.0,2800.0
Lindi,2025-06-04,,2200.0
Lindi,2025-06-11,2900.0,2400.0
Lindi,2025-06-18,2800.0,2500.0
Lindi,2025-06-25,3000.0,2700.0
Lindi,2025-08-06,2700.0,2700.0
Lindi,2025-08-13,2900.0,2600.0
Lindi,2025-08-20,3000.0,2600.0
Lindi,2025-08-27,3100.0,2700.0
Lindi,2025-09-03,3100.0,2500.0
Lindi,2025-09-10,2900.0,2700.0
Lindi,2025-09-17,2900.0,2700.0
Lindi,2025-11-05,3000.0,2800.0
Lindi,2025-11-12,3100.0,2900.0
Lindi,2025-11-19,3200.0,3000.0
Lindi,2025-11-26,3300.0,3000.0
Lindi,2026-01-07,3000.0,3000.0
Lindi,2026-01-14,3300.0,3000.0
Lindi,2026-01-21,3200.0,2800.0
Lindi,2026-01-28,3200.0,3000.0
Lindi,2026-02-04,3200.0,3000.0
Lindi,2026-02-11,3300.0,3000.0
Lindi,2026-02-18,2900.0,3000.0
Lindi,2026-02-25,2900.0,3000.0
Lindi,2026-03-04,2900.0,3000.0
Lindi,2026-03-11,2800.0,3000.0
Lindi,2026-03-25,2700.0,3100.0
Lindi,2026-04-08,2900.0,3100.0
Lindi,2026-04-15,2900.0,3100.0
Lindi,2026-04-22,2700.0,3100.0
Manyara,2024-08-21,1900.0,2300.0
Manyara,2024-12-18,2900.0,2300.0
Manyara,2025-02-19,2300.0,2600.0
Manyara,2025-03-12,3200.0,2700.0
Manyara,2025-05-14,2600.0,2400.0
Manyara,2025-09-24,3000.0,2800.0
Manyara,2026-03-04,2500.0,3000.0
Manyara,2026-03-11,2500.0,2700.0
Manyara,2026-03-18,2500.0,2800.0
Manyara,2026-03-25,2400.0,2800.0
Manyara,2026-05-06,2300.0,2500.0
Mara,2024-08-21,2800.0,1900.0
Mara,2024-12-04,2800.0,1600.0
Mara,2024-12-18,3000.0,1700.0
Mara,2025-02-05,2800.0,1700.0
Mara,2025-02-19,2800.0,1800.0
Mara,2025-03-05,2800.0,2300.0
Mara,2025-03-12,2700.0,2300.0
Mara,2025-05-14,2500.0,2200.0
Mara,2025-06-04,2500.0,2000.0
Mara,2025-06-18,2200.0,1900.0
Mara,2025-07-23,2300.0,2200.0
Mara,2025-08-06,2000.0,2100.0
Mara,2025-08-20,1800.0,2200.0
Mara,2025-08-27,1900.0,2200.0
Mara,2025-09-03,1900.0,2200.0
Mara,2025-09-10,1800.0,2300.0
Mara,2025-09-17,1900.0,2300.0
Mara,2025-11-05,2500.0,2400.0
Mara,2025-11-12,2500.0,2500.0
Mara,2026-02-11,2200.0,2900.0
Mara,2026-02-18,2000.0,2900.0
Mara,2026-03-11,2100.0,2700.0
Mara,2026-03-18,2100.0,2600.0
Mara,2026-05-06,2000.0,2100.0
Mbeya,2024-08-21,2300.0,1700.0
