Region,date,crop,price_tzs_per_kg,source_pdf,source_url
Kagera,2024-12-18,Beans,2200,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Kagera,2024-12-18,Rice,2300,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Katavi,2024-12-18,Beans,2800,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Katavi,2024-12-18,Rice,1400,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Kilimanjaro,2024-12-18,Beans,2700,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Kilimanjaro,2024-12-18,Rice,1700,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Lindi,2024-12-18,Beans,3100,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Lindi,2024-12-18,Rice,2400,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Manyara,2024-12-18,Beans,2900,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Manyara,2024-12-18,Rice,2300,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Mara,2024-12-18,Beans,3000,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Mara,2024-12-18,Rice,1700,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Mbeya,2024-12-18,Beans,2900,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Mbeya,2024-12-18,Rice,2000,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
Morogoro,2024-12-18,Beans,2900,sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1734724726-Mwenendo wa Bei za Mazao tarehe 16-20 Desemba 2024. (1).pdf
